CBSA Title	County/County Equivalent	State Name
Aberdeen, SD	Brown County	South Dakota
Aberdeen, SD	Edmunds County	South Dakota
Aberdeen, WA	Grays Harbor County	Washington
Abilene, TX	Callahan County	Texas
Abilene, TX	Jones County	Texas
Abilene, TX	Taylor County	Texas
Ada, OK	Pontotoc County	Oklahoma
Adrian, MI	Lenawee County	Michigan
Aguadilla-Isabela, PR	Aguada County	Puerto Rico
Aguadilla-Isabela, PR	Aguadilla County	Puerto Rico
Aguadilla-Isabela, PR	Añasco County	Puerto Rico
Aguadilla-Isabela, PR	Isabela County	Puerto Rico
Aguadilla-Isabela, PR	Lares County	Puerto Rico
Aguadilla-Isabela, PR	Moca County	Puerto Rico
Aguadilla-Isabela, PR	Rincón County	Puerto Rico
Aguadilla-Isabela, PR	San Sebastián County	Puerto Rico
Aguadilla-Isabela, PR	Utuado County	Puerto Rico
Akron, OH	Portage County	Ohio
Akron, OH	Summit County	Ohio
Alamogordo, NM	Otero County	New Mexico
Albany, GA	Dougherty County	Georgia
Albany, GA	Lee County	Georgia
Albany, GA	Terrell County	Georgia
Albany, GA	Worth County	Georgia
Albany-Lebanon, OR	Linn County	Oregon
Albany-Schenectady-Troy, NY	Albany County	New York
Albany-Schenectady-Troy, NY	Rensselaer County	New York
Albany-Schenectady-Troy, NY	Saratoga County	New York
Albany-Schenectady-Troy, NY	Schenectady County	New York
Albany-Schenectady-Troy, NY	Schoharie County	New York
Albemarle, NC	Stanly County	North Carolina
Albert Lea, MN	Freeborn County	Minnesota
Albertville, AL	Marshall County	Alabama
Albuquerque, NM	Bernalillo County	New Mexico
Albuquerque, NM	Sandoval County	New Mexico
Albuquerque, NM	Torrance County	New Mexico
Albuquerque, NM	Valencia County	New Mexico
Alexander City, AL	Coosa County	Alabama
Alexander City, AL	Tallapoosa County	Alabama
Alexandria, LA	Grant Parish	Louisiana
Alexandria, LA	Rapides Parish	Louisiana
Alexandria, MN	Douglas County	Minnesota
Alice, TX	Duval County	Texas
Alice, TX	Jim Wells County	Texas
Allentown-Bethlehem-Easton, PA-NJ	Warren County	New Jersey
Allentown-Bethlehem-Easton, PA-NJ	Carbon County	Pennsylvania
Allentown-Bethlehem-Easton, PA-NJ	Lehigh County	Pennsylvania
Allentown-Bethlehem-Easton, PA-NJ	Northampton County	Pennsylvania
Alma, MI	Gratiot County	Michigan
Alpena, MI	Alpena County	Michigan
Altoona, PA	Blair County	Pennsylvania
Altus, OK	Jackson County	Oklahoma
Amarillo, TX	Armstrong County	Texas
Amarillo, TX	Carson County	Texas
Amarillo, TX	Oldham County	Texas
Amarillo, TX	Potter County	Texas
Amarillo, TX	Randall County	Texas
Americus, GA	Schley County	Georgia
Americus, GA	Sumter County	Georgia
Ames, IA	Boone County	Iowa
Ames, IA	Story County	Iowa
Amsterdam, NY	Montgomery County	New York
Anchorage, AK	Anchorage County	Alaska
Anchorage, AK	Matanuska-Susitna County	Alaska
Andrews, TX	Andrews County	Texas
Angola, IN	Steuben County	Indiana
Ann Arbor, MI	Washtenaw County	Michigan
Anniston-Oxford, AL	Calhoun County	Alabama
Appleton, WI	Calumet County	Wisconsin
Appleton, WI	Outagamie County	Wisconsin
Arcadia, FL	DeSoto County	Florida
Ardmore, OK	Carter County	Oklahoma
Ardmore, OK	Love County	Oklahoma
Arecibo, PR	Arecibo County	Puerto Rico
Arecibo, PR	Camuy County	Puerto Rico
Arecibo, PR	Hatillo County	Puerto Rico
Arecibo, PR	Quebradillas County	Puerto Rico
Arkadelphia, AR	Clark County	Arkansas
Asheville, NC	Buncombe County	North Carolina
Asheville, NC	Haywood County	North Carolina
Asheville, NC	Henderson County	North Carolina
Asheville, NC	Madison County	North Carolina
Ashland, OH	Ashland County	Ohio
Ashtabula, OH	Ashtabula County	Ohio
Astoria, OR	Clatsop County	Oregon
Atchison, KS	Atchison County	Kansas
Athens, OH	Athens County	Ohio
Athens, TN	McMinn County	Tennessee
Athens, TX	Henderson County	Texas
Athens-Clarke County, GA	Clarke County	Georgia
Athens-Clarke County, GA	Madison County	Georgia
Athens-Clarke County, GA	Oconee County	Georgia
Athens-Clarke County, GA	Oglethorpe County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Barrow County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Bartow County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Butts County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Carroll County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Cherokee County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Clayton County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Cobb County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Coweta County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Dawson County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	DeKalb County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Douglas County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Fayette County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Forsyth County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Fulton County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Gwinnett County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Haralson County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Heard County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Henry County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Jasper County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Lamar County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Meriwether County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Morgan County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Newton County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Paulding County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Pickens County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Pike County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Rockdale County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Spalding County	Georgia
Atlanta-Sandy Springs-Alpharetta, GA	Walton County	Georgia
Atlantic City-Hammonton, NJ	Atlantic County	New Jersey
Atmore, AL	Escambia County	Alabama
Auburn, IN	DeKalb County	Indiana
Auburn, NY	Cayuga County	New York
Auburn-Opelika, AL	Lee County	Alabama
Augusta-Richmond County, GA-SC	Burke County	Georgia
Augusta-Richmond County, GA-SC	Columbia County	Georgia
Augusta-Richmond County, GA-SC	Lincoln County	Georgia
Augusta-Richmond County, GA-SC	McDuffie County	Georgia
Augusta-Richmond County, GA-SC	Richmond County	Georgia
Augusta-Richmond County, GA-SC	Aiken County	South Carolina
Augusta-Richmond County, GA-SC	Edgefield County	South Carolina
Augusta-Waterville, ME	Kennebec County	Maine
Austin, MN	Mower County	Minnesota
Austin-Round Rock-Georgetown, TX	Bastrop County	Texas
Austin-Round Rock-Georgetown, TX	Caldwell County	Texas
Austin-Round Rock-Georgetown, TX	Hays County	Texas
Austin-Round Rock-Georgetown, TX	Travis County	Texas
Austin-Round Rock-Georgetown, TX	Williamson County	Texas
Bainbridge, GA	Decatur County	Georgia
Bakersfield, CA	Kern County	California
